Cell type,Gene
Fr. II eTreg,CDKN3
Fr. II eTreg,CDRT1
Fr. II eTreg,CDT1
Fr. II eTreg,CENPA
Fr. II eTreg,CENPE
Fr. II eTreg,CENPF
Fr. II eTreg,CENPI
Fr. II eTreg,CENPM
Fr. II eTreg,CENPN
Fr. II eTreg,CENPP
Fr. II eTreg,CENPU
Fr. II eTreg,CEP55
Fr. II eTreg,CHAF1B
Fr. II eTreg,CHEK1
Fr. II eTreg,CHRNA6
Fr. II eTreg,CIT
Fr. II eTreg,CKAP2L
Fr. II eTreg,CLSPN
Fr. II eTreg,CMC2
Fr. II eTreg,CNTNAP1
Fr. II eTreg,CORO2A
Fr. II eTreg,CPE
Fr. II eTreg,CREG2
Fr. II eTreg,CSF1
Fr. II eTreg,CTLA4
Fr. II eTreg,CTNNAL1
Fr. II eTreg,CYTOR
Fr. II eTreg,DCP1B
Fr. II eTreg,DEPDC1
Fr. II eTreg,DEPDC1B
Fr. II eTreg,DHFR
Fr. II eTreg,DIAPH3
Fr. II eTreg,DLGAP5
Fr. II eTreg,DMC1
Fr. II eTreg,DNA2
Fr. II eTreg,DONSON
Fr. II eTreg,DSCC1
Fr. II eTreg,DTL
Fr. II eTreg,DUSP10
Fr. II eTreg,DUSP16
Fr. II eTreg,DUSP4
Fr. II eTreg,E2F1
Fr. II eTreg,E2F2
Fr. II eTreg,E2F8
Fr. II eTreg,ELK3
Fr. II eTreg,EME1
Fr. II eTreg,EPSTI1
Fr. II eTreg,ERCC6L
Fr. II eTreg,ERI1
Fr. II eTreg,ESCO2
Fr. II eTreg,ESPL1
Fr. II eTreg,EXO1
Fr. II eTreg,EZH2
Fr. II eTreg,F5
Fr. II eTreg,FAAP24
Fr. II eTreg,FAM104A
Fr. II eTreg,FAM110C
Fr. II eTreg,FAM160B1
Fr. II eTreg,FAM174B
Fr. II eTreg,FAM184A
Fr. II eTreg,FAM50B
Fr. II eTreg,FAM72B
Fr. II eTreg,FAM83D
Fr. II eTreg,FANCI
Fr. II eTreg,FANK1
Fr. II eTreg,FBXO43
Fr. II eTreg,FDXR
Fr. II eTreg,FEN1
Fr. II eTreg,FOXM1
Fr. II eTreg,FOXP3
Fr. II eTreg,GADD45A
Fr. II eTreg,GALM
Fr. II eTreg,GBP5
Fr. II eTreg,GINS1
Fr. II eTreg,GINS2
Fr. II eTreg,GMNN
Fr. II eTreg,GPR19
Fr. II eTreg,GPR55
Fr. II eTreg,GTF3C6
Fr. II eTreg,GTSE1
Fr. II eTreg,H2AFV
Fr. II eTreg,H2AFX
Fr. II eTreg,H2AFZ
Fr. II eTreg,HACD1
Fr. II eTreg,HECW1
Fr. II eTreg,HELLS
Fr. II eTreg,HIST1H1B
Fr. II eTreg,HIST1H2BN
Fr. II eTreg,HIST1H3H
Fr. II eTreg,HIST1H4C
Fr. II eTreg,HIST3H2BB
Fr. II eTreg,HJURP
Fr. II eTreg,HMCN1
Fr. II eTreg,HMGB2
Fr. II eTreg,HMGN2
Fr. II eTreg,HMGN2P5
Fr. II eTreg,HMMR
Fr. II eTreg,HNRNPA1P21
Fr. II eTreg,HPGD
Fr. II eTreg,HPRT1
Fr. II eTreg,HSPA2
Fr. II eTreg,ICA1
Fr. II eTreg,IGBP1
Fr. II eTreg,IKZF4
Fr. II eTreg,IL1R1
Fr. II eTreg,IL2RA
Fr. II eTreg,IL32
Fr. II eTreg,INPP5K
Fr. II eTreg,IQGAP3
Fr. II eTreg,JAKMIP1
Fr. II eTreg,JHDM1D-AS1
Fr. II eTreg,KAT2B
Fr. II eTreg,KCNA2
Fr. II eTreg,KHDC1
Fr. II eTreg,KIAA1524
Fr. II eTreg,KIAA1841
Fr. II eTreg,KIF11
Fr. II eTreg,KIF14
Fr. II eTreg,KIF15
Fr. II eTreg,KIF18A
Fr. II eTreg,KIF18B
Fr. II eTreg,KIF20A
Fr. II eTreg,KIF23
Fr. II eTreg,KIF24
Fr. II eTreg,KIF2C
Fr. II eTreg,KIF4A
Fr. II eTreg,KIFC1
Fr. II eTreg,KNL1
Fr. II eTreg,LAYN
Fr. II eTreg,LINC00426
Fr. II eTreg,LINC00880
Fr. II eTreg,LINC00884
Fr. II eTreg,LINC00891
Fr. II eTreg,LINC01619
Fr. II eTreg,LINC01727
Fr. II eTreg,LINC01943
Fr. II eTreg,LINC02195
Fr. II eTreg,LINC02495
Fr. II eTreg,LMCD1
Fr. II eTreg,LMNA
Fr. II eTreg,LRRC2
Fr. II eTreg,LRRC32
Fr. II eTreg,MCM10
Fr. II eTreg,MCM2
Fr. II eTreg,MCM4
Fr. II eTreg,MED18
Fr. II eTreg,MELK
Fr. II eTreg,MEOX1
Fr. II eTreg,METTL27
Fr. II eTreg,MIR3142HG
Fr. II eTreg,MIR4435-2HG
Fr. II eTreg,MKI67
Fr. II eTreg,MND1
Fr. II eTreg,MPC2
Fr. II eTreg,MRPL28
Fr. II eTreg,MT1E
Fr. II eTreg,MTFR2
Fr. II eTreg,MXD4
Fr. II eTreg,MYO5A
Fr. II eTreg,MYO5C
Fr. II eTreg,NAT1
Fr. II eTreg,NCAPG
